Job titiles,Domain,AI Impact,Model_AI_Impact,Job_Resilience_Score,Resilience_Level
Communications Manager,Communication & PR,98,72.57,27.430000000000007,Low Resilience
Data Collector,Data & IT,95,73.83333333333333,26.16666666666667,Low Resilience
Data Entry,Administrative & Clerical,95,77.57,22.430000000000007,Low Resilience
Mail Clerk,Leadership & Strategy,95,80.22333333333333,19.77666666666667,Low Resilience
Compliance Officer,Medical & Healthcare,92,80.79666666666667,19.203333333333333,Low Resilience
Chief Executive Officer (CEO),Supply Chain & Logistics,91,68.89333333333333,31.10666666666667,Low Resilience
Therapist,Law Enforcement,90,73.33333333333333,26.66666666666667,Low Resilience
Chief Strategy Officer,Construction,90,72.67,27.33,Low Resilience
Admin,Sales & Marketing,90,33.14666666666667,66.85333333333332,Medium Resilience
General Clerk,Hospitality,90,72.57,27.430000000000007,Low Resilience
Mail Handler,Communication & PR,90,72.07333333333334,27.926666666666662,Low Resilience
Data Clerk,Data & IT,90,72.30666666666667,27.693333333333328,Low Resilience
Data Entry Clerk,Administrative & Clerical,90,67.12,32.879999999999995,Low Resilience
Data Entry Operator,Leadership & Strategy,90,73.89333333333333,26.10666666666667,Low Resilience
Data Entry Specialist,Medical & Healthcare,90,68.06666666666666,31.933333333333337,Low Resilience
Medical Transcriptionist,Supply Chain & Logistics,90,68.6,31.400000000000006,Low Resilience
Street Sweeper,Law Enforcement,90,79.78,20.22,Low Resilience
Supply Clerk,Construction,90,53.34,46.66,Medium Resilience
Warehouse Worker,Sales & Marketing,90,71.36666666666666,28.63333333333334,Low Resilience
Web Search Evaluator,Hospitality,90,32.473333333333336,67.52666666666667,Medium Resilience
Development Manager,Communication & PR,89,65.99,34.010000000000005,Low Resilience
Delivery Driver,Data & IT,88,76.53333333333333,23.46666666666667,Low Resilience
Chief Security Officer,Administrative & Clerical,88,64.62666666666667,35.373333333333335,Low Resilience
File Clerk,Leadership & Strategy,88,33.19,66.81,Medium Resilience
Mail Processing,Medical & Healthcare,88,76.31666666666666,23.683333333333337,Low Resilience
