Job titiles,AI Impact,Tasks,AI models,AI_Workload_Ratio,Domain,Predicted_AI_Impact
Communications Manager,98,365,2546,0.143362136684996,Communication & PR,72.57
Data Collector,95,299,2148,0.1391992551210428,Data & IT,73.83333333333333
Data Entry,95,325,2278,0.1426690079016681,Administrative & Clerical,77.57
Mail Clerk,95,193,1366,0.1412884333821376,Leadership & Strategy,80.22333333333333
Compliance Officer,92,194,1369,0.1417092768444119,Medical & Healthcare,80.79666666666667
Chief Executive Officer (CEO),91,153,1135,0.1348017621145374,Supply Chain & Logistics,68.89333333333333
Therapist,90,114,983,0.1159715157680569,Law Enforcement,73.33333333333333
Chief Strategy Officer,90,184,1284,0.1433021806853582,Construction,72.67
Admin,90,253,2014,0.1256206554121152,Sales & Marketing,33.14666666666667
General Clerk,90,242,1903,0.1271676300578034,Hospitality,72.57
Mail Handler,90,188,1350,0.1392592592592592,Communication & PR,72.07333333333334
Data Clerk,90,317,2258,0.1403897254207263,Data & IT,72.30666666666667
Data Entry Clerk,90,328,2305,0.1422993492407809,Administrative & Clerical,67.12
Data Entry Operator,90,329,2311,0.1423626135871916,Leadership & Strategy,73.89333333333333
Data Entry Specialist,90,334,2358,0.1416454622561492,Medical & Healthcare,68.06666666666666
Medical Transcriptionist,90,189,1265,0.1494071146245059,Supply Chain & Logistics,68.6
Street Sweeper,90,3,82,0.0365853658536585,Law Enforcement,79.78
Supply Clerk,90,115,901,0.1276359600443951,Construction,53.34
Warehouse Worker,90,68,607,0.1120263591433278,Sales & Marketing,71.36666666666666
Web Search Evaluator,90,243,1599,0.1519699812382739,Hospitality,32.473333333333336
Development Manager,89,217,1558,0.1392811296534018,Communication & PR,65.99
Delivery Driver,88,20,309,0.0647249190938511,Data & IT,76.53333333333333
Chief Security Officer,88,142,1116,0.1272401433691756,Administrative & Clerical,64.62666666666667
File Clerk,88,228,1797,0.1268781302170283,Leadership & Strategy,33.19
Mail Processing,88,189,1336,0.1414670658682634,Medical & Healthcare,76.31666666666666
Director Of Operations,87,198,1397,0.1417322834645669,Supply Chain & Logistics,69.27333333333333
Direct Support Professional,86,117,1018,0.1149312377210216,Law Enforcement,55.416666666666664
Chief Communications Officer,85,284,2118,0.1340887629839471,Construction,66.91666666666667
Administrative Clerk,85,270,2070,0.1304347826086956,Sales & Marketing,69.23666666666666
Executive Assistant,85,276,2112,0.1306818181818181,Hospitality,58.52333333333333
General Office Clerk,85,245,1912,0.1281380753138075,Communication & PR,68.01666666666667
Transcriber,85,205,1359,0.1508462104488594,Data & IT,61.75
Sql Programmer,85,179,1665,0.1075075075075075,Administrative & Clerical,72.46666666666667
Vba Developer,85,191,1672,0.1142344497607655,Leadership & Strategy,57.56
Medical Scribe,85,202,1696,0.1191037735849056,Medical & Healthcare,72.40666666666667
Special Agent,85,45,462,0.0974025974025974,Supply Chain & Logistics,70.0
Purchasing Clerk,85,180,1306,0.1378254211332312,Law Enforcement,66.67666666666666
Bricklayer,85,3,30,0.1,Construction,71.3
Telemarketer,85,179,1281,0.1397345823575331,Sales & Marketing,68.43333333333334
Bakery Manager,84,97,804,0.1206467661691542,Hospitality,74.67333333333333
Banquet Manager,83,99,802,0.1234413965087281,Communication & PR,73.55666666666667
Clerk Typist,83,263,1986,0.1324269889224572,Data & IT,61.553333333333335
Assistant,82,240,1600,0.15,Administrative & Clerical,59.13333333333333
Business Relationship Manager,82,194,1467,0.1322426721199727,Leadership & Strategy,31.973333333333333
Distribution Manager,80,198,1436,0.1378830083565459,Medical & Healthcare,59.99666666666667
Administrative Assistant,80,286,2155,0.1327146171693735,Supply Chain & Logistics,35.68333333333333
Administrative Secretary,80,268,2076,0.1290944123314065,Law Enforcement,68.67666666666666
Clerical Assistant,80,265,2004,0.1322355289421157,Construction,63.376666666666665
Executive Administrative Assistant,80,279,2124,0.1313559322033898,Sales & Marketing,71.4
Order Filler,80,133,1021,0.1302644466209598,Hospitality,69.62666666666667
Records Clerk,80,222,1784,0.124439461883408,Communication & PR,68.11666666666666
Scribe,80,202,1623,0.1244608749229821,Data & IT,35.63
Typist,80,208,1364,0.1524926686217008,Administrative & Clerical,63.83
Dishwasher,80,3,31,0.0967741935483871,Leadership & Strategy,71.05
Digital Project Manager,80,231,1922,0.1201873048907388,Medical & Healthcare,63.666666666666664
Technical Project Manager,80,205,1521,0.1347797501643655,Supply Chain & Logistics,64.53666666666666
Grocer,80,50,377,0.1326259946949602,Law Enforcement,69.36666666666666
Finance Officer,80,167,1516,0.1101583113456464,Construction,68.75
Word Processor,80,264,1707,0.1546572934973638,Sales & Marketing,56.51
Market Research Interviewer,80,210,1825,0.1150684931506849,Hospitality,63.64666666666667
Pl Sql Developer,80,183,1686,0.1085409252669039,Communication & PR,68.41666666666667
Quantitative Developer,80,182,1667,0.1091781643671265,Data & IT,63.06666666666667
Statistical Programmer,80,187,1669,0.1120431396045536,Administrative & Clerical,74.46666666666667
Tableau Developer,80,188,1668,0.1127098321342925,Leadership & Strategy,71.96
Data Modeler,80,216,1767,0.1222410865874363,Medical & Healthcare,67.16666666666667
Database Analyst,80,218,1773,0.122955442752397,Supply Chain & Logistics,64.66
Database Developer,80,205,1726,0.1187717265353418,Law Enforcement,63.14333333333333
Etl Developer,80,184,1670,0.1101796407185628,Construction,75.32666666666667
Hadoop Developer,80,181,1643,0.1101643335362142,Sales & Marketing,56.193333333333335
Sql Analyst,80,212,1761,0.1203861442362294,Hospitality,38.20333333333333
Procurement Assistant,80,179,1316,0.1360182370820668,Communication & PR,40.193333333333335
Receiving Associate,80,92,733,0.1255115961800818,Data & IT,66.26666666666667
Warehouse Associate,80,78,664,0.1174698795180722,Administrative & Clerical,67.48333333333333
Press Operator,80,84,1077,0.0779944289693593,Leadership & Strategy,47.46666666666667
Pressman,80,83,1068,0.0777153558052434,Medical & Healthcare,68.13333333333334
Printing Press Operator,80,93,1065,0.0873239436619718,Supply Chain & Logistics,62.166666666666664
Automation Test Engineer,80,159,1547,0.1027795733678086,Law Enforcement,73.73
Automation Tester,80,158,1541,0.1025308241401687,Construction,73.38333333333334
QA Automation Engineer,80,155,1525,0.101639344262295,Sales & Marketing,69.36333333333333
Tax Preparer,80,153,1263,0.1211401425178147,Hospitality,30.416666666666668
Associate,79,175,1298,0.1348228043143297,Communication & PR,41.63333333333333
Chief Learning Officer,79,162,1250,0.1296,Data & IT,66.81666666666666
Web Project Manager,78,217,1845,0.1176151761517615,Administrative & Clerical,61.89666666666667
Medical Coding Specialist,78,171,1250,0.1368,Leadership & Strategy,64.88
Front Desk,77,215,1779,0.1208544125913434,Medical & Healthcare,56.73
Credit Manager,76,151,1094,0.1380255941499086,Supply Chain & Logistics,63.16
Advertising Manager,75,195,1370,0.1423357664233576,Law Enforcement,65.05666666666667
Caller,75,131,1085,0.12073732718894,Construction,58.65
Phone Sales,75,11,54,0.2037037037037037,Sales & Marketing,72.7
Telesales Representative,75,145,1049,0.1382268827454718,Hospitality,65.34666666666666
Accounting Clerk,75,145,1299,0.1116243264049268,Communication & PR,47.233333333333334
Administrative Associate,75,281,2139,0.131369798971482,Data & IT,68.15333333333334
Administrative Coordinator,75,281,2128,0.1320488721804511,Administrative & Clerical,70.1
Corporate Receptionist,75,15,58,0.2586206896551724,Leadership & Strategy,28.076666666666668
Desk Receptionist,75,14,56,0.25,Medical & Healthcare,55.72
Executive Secretary,75,159,1176,0.135204081632653,Supply Chain & Logistics,41.626666666666665
Front Desk Clerk,75,223,1801,0.1238200999444752,Law Enforcement,57.72666666666667
Front Desk Receptionist,75,225,1803,0.124792013311148,Construction,64.7
Front Office Receptionist,75,226,1812,0.1247240618101545,Sales & Marketing,64.06666666666666
Mail Sorter,75,136,1219,0.1115668580803937,Hospitality,39.45666666666666
Order Clerk,75,151,1336,0.1130239520958083,Communication & PR,49.17666666666667
Medical Coder,75,109,773,0.1410090556274256,Data & IT,66.42666666666666
Purchasing Assistant,75,163,1417,0.1150317572335921,Administrative & Clerical,60.13333333333333
Supply Technician,75,121,979,0.1235955056179775,Leadership & Strategy,66.03
Android Developer,75,147,1393,0.1055276381909547,Medical & Healthcare,65.4
Ios Developer,75,148,1394,0.1061692969870875,Supply Chain & Logistics,66.99
Chief Of Staff,75,180,1405,0.1281138790035587,Law Enforcement,59.263333333333335
Intelligence Analyst,75,169,1185,0.1426160337552742,Construction,58.63666666666666
Photo Retoucher,75,193,1464,0.1318306010928961,Sales & Marketing,56.66
Full Charge Bookkeeper,75,123,858,0.1433566433566433,Hospitality,39.22
Grant Accountant,75,128,886,0.1444695259593679,Communication & PR,62.51
Epic Analyst,75,114,798,0.1428571428571428,Data & IT,40.846666666666664
It Project Manager,75,221,1840,0.1201086956521739,Administrative & Clerical,62.46666666666667
Software Project Manager,75,175,1442,0.1213592233009708,Leadership & Strategy,65.29666666666667
Technology Project Manager,75,175,1443,0.1212751212751212,Medical & Healthcare,68.38666666666667
Cobol Developer,75,130,929,0.1399354144241119,Supply Chain & Logistics,69.44666666666667
Quantitative Analyst,75,8,46,0.1739130434782608,Law Enforcement,68.48333333333333
